# water_k, water_j,reference_k
282,586891685.4,281.377547
281.946356,588769276.8,280.908971
281.904241,576277988.5,280.529081
281.869902,568482720.3,280.206749
281.840323,562840311.4,279.925637
281.814015,522220611.7,279.687162
281.793435,482380388.8,279.483169
281.777323,438305824.2,279.309319
281.765342,392471886.1,279.162307
281.757069,335677772.5,279.036113
281.753055,277130150.7,278.929109
281.752907,217051735.2,278.83994
281.756349,155399712.2,278.767511
281.763184,145761056.2,278.691504
281.768366,137405818.1,278.614969
281.772591,132873426.4,278.538837
281.775933,124304249.5,278.464328
281.779076,98798169.29,278.394873
281.783679,69947023.11,278.330279
281.789784,44958308.62,278.269586
281.796838,20510806.12,278.212548
281.804744,32586745.37,278.154946
281.810135,44032480.29,278.097575
281.813766,52453197.1,278.041272
281.816284,63612732.41,277.98568
281.817612,70793336.31,277.930468
281.818296,77639580.29,277.875832
281.818414,84313446.97,277.82188
281.818026,90838256.39,277.768668
281.817182,136908857.7,277.701722
281.812299,181342114.4,277.625617
281.804345,222355132.9,277.543137
281.794069,262071176.5,277.4562
281.782546,224291982.1,277.444723
281.778699,183441953.8,277.505609
281.782429,144318240.9,277.625451
281.793218,109532523.3,277.792672
281.810265,87974996.91,277.994902
281.831937,69096322.88,278.224993
281.857718,53049911.83,278.475991
281.88696,35397916.27,278.742532
281.919375,26634046.53,279.020065
281.955169,18795876.01,279.303358
281.994737,11941850.14,279.587645
282.037425,6183032.318,279.868539
282.082544,-19323780.12,280.139816
282.131291,-40422247.89,280.397785
282.182643,-58346069.57,280.639346
282.235684,-79012814.66,280.861944
282.29004,-64023794.17,281.062546
282.34183,-51901389.13,281.238893
282.390716,-37176823.13,281.387936
282.435874,-23327878.07,281.50745
282.476822,-7449006.596,281.593167
282.512845,5677803.52,281.644267
282.543714,20586191.04,281.658907
282.568846,34715727.51,281.635962
282.587986,64659284.46,281.574972
282.59949,91907986.67,281.47505
282.603588,115185149.5,281.335624
282.600876,136406197.4,281.1565
282.592125,131510229.1,280.938121
282.580772,129009207.1,280.681499
282.56819,125042639.5,280.390721
282.555935,117319490.6,280.122593
282.544425,100476634,279.900597
282.534492,78803726.35,279.71466
282.526571,56134754.36,279.558214
282.520748,36181154.6,279.426434
282.516766,94295054.22,279.298313
282.507486,153471185.5,279.174698
282.492827,208750174.3,279.055852
282.47316,256487993.9,278.942059
282.449192,286832792.6,278.818273
282.422524,314517124,278.6887
282.393409,339949776.9,278.555776
282.36206,363199449.4,278.421097
282.328683,327333147.6,278.31131
282.298686,292377812.4,278.22051
282.273036,255835609.7,278.145882
282.255971,215885801.6,278.086175
282.244787,230661061.1,278.023713
282.232718,249884467.9,277.960304
282.219455,265729299.3,277.897506
282.205451,282284646.6,277.835741
282.190656,300224692.7,277.771551
282.174965,315611875.4,277.70639
282.158653,330768755.9,277.640698
282.141713,348087704.5,277.574296
282.123927,345323342.1,277.511111
282.107166,340046241.4,277.450861
282.091275,337340647.8,277.392584
282.075756,334840653.5,277.336072
282.045228,600432511.1,277.138124
282.005638,599453390.1,276.976323
281.972334,590976367.4,276.836614
281.943601,586196833.3,276.711816
281.917754,582913574.3,276.598475
281.893944,543298656.7,276.50573
281.875039,504127189.8,276.430442
281.859944,460499643.7,276.371725
281.848413,414935272,276.328759
281.84008,358771451.2,276.29738
281.835488,300716054.8,276.277378
281.83429,240980724.5,276.268513
281.836317,179525894.1,276.270586
281.841542,169963280.4,276.264004
281.845032,161607903.9,276.252402
281.847536,156991865,276.237205
281.84916,148346478.3,276.220051
281.850587,122290220.3,276.204729
281.853512,92889323.6,276.191359
281.857965,67364427.6,276.17925
281.863376,42388988.11,276.168388
281.869642,53532004.45,276.154761
281.873435,64096402.97,276.139339
281.87551,71635659.41,276.123118
281.876525,81945047.94,276.105882
281.87641,88680151.84,276.087425
281.87568,95098094.94,276.068057
281.874422,101352008.9,276.047988
281.872702,107468154.5,276.027364
281.870571,152468165.8,275.991797
281.864509,195875776.1,275.945926
281.855464,235946324.2,275.892602
281.844172,274745037.9,275.833803
281.831702,236711286.7,275.849557
281.826915,195623574.2,275.936864
281.829723,156265850.6,276.082387
281.839616,121252483.4,276.274602
281.855798,99762406.18,276.501179
281.876612,80927868.09,276.755001
281.901551,64939975.58,277.029144
281.929972,47341584.71,277.318266
281.961588,38360646.38,277.617837
281.996314,30312132.26,277.922642
282.034837,23174936.84,278.227933
282.076508,17139274.31,278.529336
282.120638,-8148522.302,278.820638
282.168381,-29043686.91,279.098159
282.218712,-46810538.68,279.358809
282.270721,-67331048.75,279.60004
282.324034,-52665304.34,279.818828
282.374815,-40869811.85,280.012921
282.422725,-26462744.52,280.179279
282.466938,-12921810.41,280.315683
282.506973,2855678.173,280.41787
282.542095,15864067.25,280.485028
282.572075,30660465.83,280.515318
282.596331,44670154.29,280.507622
282.61461,74138334.55,280.461487
282.625298,100925633.9,280.376031
282.628625,123778321.8,280.25069
282.625183,144585354.9,280.085278
282.615741,139603581.3,279.880243
282.603708,137008639.5,279.636608
282.590456,132954215.7,279.358469
282.577541,125138161.6,279.102671
282.565382,108062472.7,278.892733
282.554822,86160545.62,278.718608
282.546297,63270956.57,278.573747
282.539891,43105031.58,278.45334
282.535349,100541615,278.33639
282.525571,159075734,278.223748
282.510474,213748642.7,278.115682
282.490426,260928679.8,278.012481
282.466128,291175821.7,277.899105
282.439142,318775264.7,277.779761
282.409716,344125325.2,277.656888
282.378063,367294430.6,277.532086
282.344391,331450012.8,277.432006
282.314343,296507092.1,277.350759
282.293873,260046860.9,277.285537
282.279639,221618371.6,277.235097
282.269831,236874644.3,277.181769
282.258387,256145178,277.127361
282.245355,271836108.3,277.073432
282.231379,288121154.4,277.020407
282.21651,306065794.3,276.964831
282.20067,321434841.8,276.908159
282.184168,336556370,276.850835
282.167018,353830770.2,276.792682
282.149012,351017143,276.737628
282.132026,345688467.9,276.685397
282.11591,342930512.6,276.63503
282.100166,340378058.9,276.58632
282.069191,605851119.8,276.396069
282.029723,605118149.9,276.241823
281.996941,596952888,276.109549
281.968721,592604405.4,275.992078
281.943257,589762322.3,275.885963
281.919687,550248130.2,275.800348
281.900929,511138933.2,275.7321
